Activity Name,Date,Sport Type,Distance (miles),Total Elevation Gain (ft),Difficulty Score
Raging River,10/08/23,MountainBikeRide,12.13,2345,9.62
Gunbarrel,06/16/22,Ride,25.38,1327,9.54
North Lake Washington,07/26/24,Ride,28.54,1183,9.5
Lake Union,11/19/23,Run,8.86,322,9.5
Tustin,11/29/20,GravelRide,20.59,1263,9.46
Chicago Lakefront Path,07/09/23,Run,9.34,42,9.42
Glacial Hills,09/09/23,MountainBikeRide,16.26,1412,9.4
Thursday Night Sprint Ride - AAVC ,07/15/21,Ride,30.11,869,9.34
VASA ST,05/23/25,MountainBikeRide,20.61,506,9.33
Lookout Mountain,07/13/22,Ride,17.16,2061,9.28
North Lake Washington,10/06/23,Ride,27.4,1210,9.27
North Lake Washington,05/27/24,Ride,27.5,1200,9.27
North Lake Washington,04/11/25,Ride,27.31,1200,9.23
Ann Arbor Loop,10/18/20,Run,8.03,588,9.21
Boulder,08/11/22,Run,8.59,303,9.2
Mount Storm King,10/20/24,Hike,5.82,2330,9.18
North Lake Washington,06/19/24,Ride,27.16,1189,9.17
Cadillac Pathway,04/17/20,MountainBikeRide,16.77,1181,9.14
Dexter,08/26/21,Ride,28.45,978,9.14
North Lake Washington,03/31/24,Ride,26.99,1184,9.12
North Lake Washington,05/09/24,Ride,27.06,1182,9.12
North Lake Washington,08/16/24,Ride,27.01,1181,9.11
North Lake Washington,08/29/24,Ride,26.95,1184,9.11
North Lake Washington,07/04/24,Ride,26.99,1181,9.11
Lake Union,10/26/24,Run,8.54,264,9.07
DTE,09/03/20,MountainBikeRide,17.33,1024,9.05
Chicago Lakefront Path,06/14/24,Run,8.91,31,9.05
Bellevue,08/30/24,Ride,23.31,1583,9.0
Flagstaff,08/03/22,Ride,14.24,2376,8.97
Minnetonka,06/05/23,Ride,29.49,756,8.95
Whitmore Lake,08/30/20,Ride,27.87,951,8.94
Mackinaw Trail,04/28/20,Run,8.17,379,8.93
DTE,05/02/22,MountainBikeRide,16.97,1033,8.93
Tustin,04/18/20,Ride,29.35,755,8.92
Emery,06/30/21,GravelRide,21.42,850,8.91
Cadillac Pathway,04/28/25,MountainBikeRide,16.92,1035,8.91
Ann Arbor Loop,10/01/20,Run,8.14,380,8.9
Lake Union,04/08/25,Run,8.33,275,8.88
Dighton Fail - CCC,06/11/20,Ride,25.44,1222,8.88
Barton Hills,12/04/20,Ride,18.4,2083,8.84
Emery,05/23/21,GravelRide,21.0,872,8.82
Whitmore Lake ,12/11/20,Ride,28.63,788,8.81
Whitmore Lake,03/16/21,Ride,28.6,789,8.8
Tustin,05/15/20,Ride,26.07,1081,8.75
Cadillac Pathway,05/26/20,MountainBikeRide,15.44,1245,8.74
North Ann Arbor,03/11/21,GravelRide,21.24,781,8.71
Lake Union,08/28/24,Run,8.18,258,8.7
Dexter,04/24/22,Ride,27.99,809,8.69
Cadillac Pathway,05/21/22,MountainBikeRide,16.23,1036,8.63
Bde Maka Ska,06/09/23,Run,8.37,78,8.59
Green Mountain,07/01/22,TrailRun,5.29,1482,8.55
Cadillac Pathway,05/25/25,MountainBikeRide,16.19,994,8.54
Olson Park,09/25/19,MountainBikeRide,15.59,1117,8.54
Arcadia Dunes,05/19/23,MountainBikeRide,15.39,1152,8.53
Cadillac Pathway,04/25/25,MountainBikeRide,17.29,772,8.53
Arcadia Dunes,05/23/22,MountainBikeRide,14.84,1255,8.52
NCT - Udell Hills,08/24/19,MountainBikeRide,15.12,1198,8.51
Joy + Olson Park,12/09/20,MountainBikeRide,17.57,694,8.49
Cadillac Pathway,05/22/25,MountainBikeRide,17.05,775,8.44
Olson Park,05/12/21,MountainBikeRide,15.91,966,8.37
Greenway + River Rds,06/21/23,Ride,29.38,471,8.36
Night Trail Run,07/12/22,TrailRun,6.35,991,8.33
Lake Cadillac,05/24/22,Run,8.02,148,8.32
Cherry Hill,08/10/21,GravelRide,19.43,873,8.29
Olson Park,04/02/21,MountainBikeRide,15.17,1052,8.24
Canyonlands National Park,05/31/22,Hike,6.96,1210,8.24
DTE,05/27/23,MountainBikeRide,14.47,1182,8.22
Pyrite Peak,12/14/23,Hike,7.48,1220,8.19
Lake Cadillac,04/21/20,Run,8.05,66,8.18
Boon,05/31/20,Ride,28.22,525,8.17
Cadillac Pathway,06/12/20,MountainBikeRide,14.03,1241,8.16
Garden of the Gods,05/28/22,Hike,7.53,944,8.13
Cadillac Pathway,09/13/23,MountainBikeRide,14.92,1043,8.12
MCycling Intro Ride,09/11/21,Ride,24.51,961,8.12
Flagstaff,06/17/22,Ride,15.89,1759,8.08
North Bund,05/04/25,Run,7.76,160,8.08
Cherry Hill,08/30/21,GravelRide,18.84,864,8.07
Washington D.C.,06/02/24,Run,7.7,175,8.05
Dexter,03/16/22,Ride,24.75,894,8.04
Dexter,08/27/20,Ride,23.21,1080,8.02
Afternoon Hike,05/11/25,Hike,7.97,958,7.96
Cascade Rock — ONP,03/22/24,Hike,6.28,1587,7.95
Valmont Bike Park,06/26/22,MountainBikeRide,16.53,419,7.89
Barton Hills,09/25/20,Ride,20.26,1375,7.87
Mount Fremont Lookout,09/21/24,Hike,6.18,1240,7.85
Minneapolis Sculpture Garden,06/28/23,Run,7.24,272,7.85
Dexter,03/23/21,Ride,23.01,1008,7.83
Skyline Trail — MRNP,04/20/24,Hike,4.35,1992,7.81
Greenway + River Roads,07/20/23,Ride,27.39,443,7.8
Saint Paul,07/03/23,Ride,31.18,0,7.8
Night Trail Run,06/23/22,TrailRun,6.2,791,7.78
County Line + Lake Cadillac,04/01/20,Ride,23.58,914,7.78
Olson Park,07/25/21,MountainBikeRide,14.52,950,7.77
Dexter,02/02/21,Ride,23.81,868,7.75
Dexter,09/22/20,Ride,24.35,781,7.71
Morning Run,11/17/24,Run,7.4,140,7.68
1st & 2nd Flatirons,06/25/22,Hike,4.07,2021,7.66
Cadillac Pathway,09/08/23,MountainBikeRide,15.08,786,7.66
University of Minnesota,06/16/23,Run,7.32,137,7.66
West Ann Arbor,09/01/21,GravelRide,18.7,676,7.64
Skyline Trail,07/13/24,Hike,4.81,1733,7.63
Palmer Woods,05/27/25,MountainBikeRide,12.79,1219,7.62
Lake 22,05/19/24,Hike,6.24,1403,7.62
Chicago Lakefront Trail,09/01/23,Ride,27.84,279,7.58
Chicago Lakefront Path,09/12/24,Run,7.44,32,7.56
Dixboro,03/30/21,Ride,22.04,984,7.54
Olson Park,11/19/20,MountainBikeRide,14.62,811,7.53
Dexter,03/26/23,Ride,23.68,768,7.52
Novi,12/31/24,Run,7.05,183,7.48
Royal Arch,08/06/22,Hike,4.12,1897,7.43
Yoyogi Park,05/13/25,Run,7.05,189,7.43
Seven Hills,06/18/22,GravelRide,13.43,1204,7.43
Valmont,07/30/22,Ride,19.44,1005,7.41
Cadillac Pathway,09/04/24,MountainBikeRide,14.57,761,7.41
Lake Cadillac,05/30/25,Run,7.21,43,7.36
Dexter,12/15/21,Ride,23.15,757,7.36
American Camp — SJI,07/27/25,TrailRun,6.16,585,7.33
DTE,04/17/21,MountainBikeRide,12.74,1088,7.33
Thursday Night Sprint Ride - AAVC ,08/19/21,Ride,24.47,573,7.32
Dexter,08/25/22,Ride,22.99,745,7.3
Starved Rock State Park,09/03/23,Hike,7.94,641,7.3
Royal Arch,07/02/22,Hike,4.11,1824,7.26
DTE,08/29/20,MountainBikeRide,13.37,922,7.25
Chicago Lakefront Path,05/02/25,Run,7.11,29,7.23
Lake Cadillac,05/21/25,Run,7.08,36,7.21
Afternoon Run,11/10/24,Run,6.46,369,7.2
Lake Cadillac,09/06/24,Run,7.05,38,7.18
DTE,10/03/20,MountainBikeRide,13.21,892,7.13
Scio Church,09/08/24,Run,6.71,171,7.11
Theo Wirth,07/31/23,MountainBikeRide,13.56,768,7.01
Night Run,07/12/24,Run,6.54,217,6.97
Mount Bohemia,01/13/21,NordicSki,5.4,746,6.95
Valmont Bike Park,07/14/22,MountainBikeRide,13.93,459,6.87
Golden Gardens + Green Lake,07/19/24,Ride,20.46,873,6.86
Morning Run,09/22/24,Run,6.48,186,6.85
Lake Cadillac,09/18/23,Run,6.84,0,6.84
Imperial Palace!,05/16/25,Run,6.36,226,6.81
Singletrack/Bike Park,10/08/20,MountainBikeRide,12.5,876,6.81
Dixboro,08/07/21,Ride,20.52,805,6.79
Both Lakes,05/28/25,Ride,23.83,384,6.78
Mack Trail Hill Laps ,05/30/20,Ride,17.44,1177,6.77
DTE,09/18/20,MountainBikeRide,12.24,902,6.76
Afternoon Run,12/07/24,Run,6.39,185,6.76
Evening Run,10/07/24,Run,6.38,185,6.75
Valmont Bike Park,07/09/22,MountainBikeRide,12.76,628,6.73
Chicago Lakefront Path,05/01/25,Run,6.57,47,6.72
Evening Run,06/20/24,Run,6.3,188,6.68
Morning Run,06/26/24,Run,6.28,192,6.66
